UID2,UID,Section
ID,ID,Section
21189,2020230176,F2F_2020
21190,2020170177,F2F_2020
21191,2020060178,F2F_2020
21192,2020150179,F2F_2020
21193,2020010180,F2F_2020
21194,2020030181,F2F_2020
21195,2020010182,F2F_2020
21196,2020030183,F2F_2020
21197,2020230184,F2F_2020
21198,2020200185,F2F_2020
21199,2020240186,F2F_2020
21200,2020140187,F2F_2020
21201,2020190188,F2F_2020
21202,2020020189,F2F_2020
21203,2020110190,F2F_2020
21204,2020210191,F2F_2020
21219,2020140192,F2F_2020
21220,2020170193,F2F_2020
21221,2020030194,F2F_2020
21223,2020100195,F2F_2020
21224,2020090196,F2F_2020
21225,2020150197,F2F_2020
21226,2020090198,F2F_2020
21228,2020070199,F2F_2020
21229,2020140200,F2F_2020
21230,2020040201,F2F_2020
21244,2020080202,F2F_2020
21246,2020090203,F2F_2020
21247,2020010204,F2F_2020
21248,2020080205,F2F_2020
21250,2020090206,F2F_2020
21251,2020060207,F2F_2020
21267,2020200208,F2F_2020
21281,2020080209,F2F_2020
21282,2020120210,F2F_2020
21283,2.021E+11,F2F_2020
21284,2020060212,F2F_2020
21285,2020250213,F2F_2020
21286,2020170214,F2F_2020
21288,2020020215,F2F_2020
21289,2020120216,F2F_2020
21290,2020140217,F2F_2020
21291,2020170218,F2F_2020
21292,2020010219,F2F_2020
21293,2020010220,F2F_2020
21308,2020180221,F2F_2020
10267,2021240001,F2F_2021
23143,2021080002,F2F_2021
23144,2021080003,F2F_2021
23145,2021050004,F2F_2021
23146,2021210005,F2F_2021
23147,2021090006,F2F_2021
23148,2021110007,F2F_2021
23149,2021140008,F2F_2021
23150,2021080009,F2F_2021
23151,2021220010,F2F_2021
23152,2021130011,F2F_2021
23153,2021200012,F2F_2021
23154,2021010013,F2F_2021
23155,2021110014,F2F_2021
23156,2021010015,F2F_2021
23157,2021160016,F2F_2021
23158,2021160017,F2F_2021
23159,2021220018,F2F_2021
23160,2021240019,F2F_2021
23161,2021250020,F2F_2021
23162,2021080021,F2F_2021
23163,2021200022,F2F_2021
23164,2021200023,F2F_2021
23165,2021050024,F2F_2021
23166,2021060025,F2F_2021
23167,2021250026,F2F_2021
23168,2021090027,F2F_2021
23169,2021120028,F2F_2021
23170,2021070029,F2F_2021
23171,2021110030,F2F_2021
23173,2021030031,F2F_2021
23174,2021190032,F2F_2021
23175,2021210033,F2F_2021
23177,2021130034,F2F_2021
23178,2021220035,F2F_2021
23179,2021180036,F2F_2021
23180,2021230037,F2F_2021
23182,2021070038,F2F_2021
23184,2021160039,F2F_2021
23185,2021010040,F2F_2021
23186,2021040041,F2F_2021
23187,2021100042,F2F_2021
23188,2021250043,F2F_2021
23189,2021170044,F2F_2021
23190,2021100045,F2F_2021
23191,2021110046,F2F_2021
23192,2021050047,F2F_2021
23193,2021130048,F2F_2021
23194,2021050049,F2F_2021
23195,2021240050,F2F_2021
23196,2021180051,F2F_2021
23197,2021040052,F2F_2021
23198,2021070053,F2F_2021
23252,2021160054,F2F_2021
23253,2021170055,F2F_2021
23254,2021240056,F2F_2021
23255,2021150057,F2F_2021
23256,2021180058,F2F_2021
23257,2021190059,F2F_2021
23258,2021230060,F2F_2021
23259,2021110061,F2F_2021
23260,2021020062,F2F_2021
23261,2021100063,F2F_2021
23262,2021210064,F2F_2021
23264,2021070065,F2F_2021
23265,2021180066,F2F_2021
23266,2021060067,F2F_2021
23268,2021120068,F2F_2021
23269,2021090069,F2F_2021
23270,2021030070,F2F_2021
23274,2021130071,F2F_2021
23277,2021160072,F2F_2021
23278,2.022E+11,F2F_2021
23279,2021220074,F2F_2021
23280,2021140075,F2F_2021
23281,2021090076,F2F_2021
23282,2021150077,F2F_2021
23283,2021250078,F2F_2021
23284,2021150079,F2F_2021
23285,2021040080,F2F_2021
23287,2021150081,F2F_2021
23288,2021120082,F2F_2021
23289,2021170083,F2F_2021
23290,2021180084,F2F_2021
23291,2021060085,F2F_2021
23292,2021220086,F2F_2021
23294,2021060087,F2F_2021
23295,2021060088,F2F_2021
23296,2021230089,F2F_2021
23297,2021090090,F2F_2021
23298,2021080091,F2F_2021
23301,2021190092,F2F_2021
23302,2021130093,F2F_2021
23303,2021210094,F2F_2021
23304,2021250095,F2F_2021
23305,2021190096,F2F_2021
23308,2021190097,F2F_2021
23309,2021070098,F2F_2021
23310,2021150099,F2F_2021
23311,2021020100,F2F_2021
23312,2021010101,F2F_2021
23336,2021040102,F2F_2021
23337,2021240103,F2F_2021
23338,2021240104,F2F_2021
23339,2021170105,F2F_2021
23340,2021150106,F2F_2021
23342,2021170107,F2F_2021
23343,2021250108,F2F_2021
23344,2021110109,F2F_2021
23345,2021010110,F2F_2021
23346,2021150111,F2F_2021
23347,2021160112,F2F_2021
23348,2021120113,F2F_2021
23349,2021070114,F2F_2021
23350,2021190115,F2F_2021
23351,2021140116,F2F_2021
23352,2021160117,F2F_2021
23353,2021050118,F2F_2021
23362,2021070119,F2F_2021
23363,2021030120,F2F_2021
23364,2021140121,F2F_2021
23365,2021170122,F2F_2021
23366,2021120123,F2F_2021
23367,2021180124,F2F_2021
23368,2021200125,F2F_2021
23369,2021020126,F2F_2021
23370,2021060127,F2F_2021
23371,2021230128,F2F_2021
23372,2021200129,F2F_2021
23373,2021040130,F2F_2021
23374,2021030131,F2F_2021
23375,2021100132,F2F_2021
23376,2021120133,F2F_2021
23377,2021090134,F2F_2021
23379,2021080135,F2F_2021
23380,2021230136,F2F_2021
23381,2021220137,F2F_2021
23382,2021200138,F2F_2021
23383,2021100139,F2F_2021
23384,2021050140,F2F_2021
23385,2021020141,F2F_2021
23386,2021060142,F2F_2021
23387,2021100143,F2F_2021
23388,2021100144,F2F_2021
23389,2021020145,F2F_2021
23390,2021090146,F2F_2021
23391,2021010147,F2F_2021
23392,2021230148,F2F_2021
23393,2021110149,F2F_2021
23394,2021130150,F2F_2021
23395,2021010151,F2F_2021
23396,2021210152,F2F_2021
23397,2021040153,F2F_2021
23398,2021170154,F2F_2021
23399,2021250155,F2F_2021
23400,2021220156,F2F_2021
23401,2021030157,F2F_2021
23402,2021190158,F2F_2021
23403,2021030159,F2F_2021
23404,2021030160,F2F_2021
23411,2021140161,F2F_2021
23413,2021040162,F2F_2021
23415,2021200163,F2F_2021
23416,2021050164,F2F_2021
23418,2021140165,F2F_2021
23445,2021240166,F2F_2021
23622,2021210167,F2F_2021
23702,2021020168,F2F_2021
23711,2021120169,F2F_2021
23728,2021230170,F2F_2021
